TITLE,sample 2
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,25/11/14
TIME,15:19:07
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-0.1
XUNITS,NANOMETERS
YUNITS,TRANSMITTANCE
FIRSTX, 1400.0000
LASTX,  300.0000
NPOINTS,   11001
FIRSTY,     0.01558
MAXY,   123.49834
MINY,    -0.02685
XYDATA
1298.4000,23.2109
1298.3000,23.2412
1298.2000,23.275
1298.1000,23.3095
1298.0000,23.3399
1297.9000,23.3674
1297.8000,23.3972
1297.7000,23.428
1297.6000,23.4587
1297.5000,23.4884
1297.4000,23.5142
1297.3000,23.5394
1297.2000,23.5692
1297.1000,23.5983
1297.0000,23.6295
1296.9000,23.663
1296.8000,23.6948
1296.7000,23.7255
1296.6000,23.761
1296.5000,23.7845
1296.4000,23.8123
1296.3000,23.8446
1296.2000,23.8721
1296.1000,23.9001
1296.0000,23.9202
1295.9000,23.9459
1295.8000,23.977
1295.7000,24.0059
1295.6000,24.0336
1295.5000,24.0601
1295.4000,24.0908
1295.3000,24.1154
1295.2000,24.1395
1295.1000,24.1629
1295.0000,24.1894
1294.9000,24.2156
1294.8000,24.2403
1294.7000,24.2735
1294.6000,24.3027
1294.5000,24.3293
1294.4000,24.3567
1294.3000,24.3821
1294.2000,24.4126
1294.1000,24.4383
1294.0000,24.4631
1293.9000,24.4887
1293.8000,24.516
1293.7000,24.534
1293.6000,24.5556
1293.5000,24.5794
1293.4000,24.6007
1293.3000,24.63
1293.2000,24.6529
1293.1000,24.6776
1293.0000,24.7064
1292.9000,24.7296
1292.8000,24.7603
1292.7000,24.7833
1292.6000,24.807
1292.5000,24.8321
1292.4000,24.857
1292.3000,24.8816
1292.2000,24.8988
1292.1000,24.9248
1292.0000,24.9506
1291.9000,24.9731
1291.8000,24.9963
1291.7000,25.0244
1291.6000,25.0504
1291.5000,25.0712
1291.4000,25.0936
1291.3000,25.1157
1291.2000,25.1343
1291.1000,25.1574
1291.0000,25.1808
1290.9000,25.2065
1290.8000,25.2303
1290.7000,25.2588
1290.6000,25.2768
1290.5000,25.3025
1290.4000,25.3262
1290.3000,25.3503
1290.2000,25.3742
1290.1000,25.3952
1290.0000,25.4154
1289.9000,25.4341
1289.8000,25.4595
1289.7000,25.4842
1289.6000,25.5008
1289.5000,25.527
1289.4000,25.5495
1289.3000,25.5707
1289.2000,25.5885
1289.1000,25.6094
1289.0000,25.6294
1288.9000,25.6523
1288.8000,25.6724
1288.7000,25.6945
1288.6000,25.7129
1288.5000,25.7269
1288.4000,25.7454
1288.3000,25.763
1288.2000,25.7828
1288.1000,25.8016
1288.0000,25.8218
1287.9000,25.8397
1287.8000,25.8555
1287.7000,25.8736
1287.6000,25.891
1287.5000,25.9009
1287.4000,25.9201
1287.3000,25.9363
1287.2000,25.9544
1287.1000,25.9715
1287.0000,25.9856
1286.9000,26.003
1286.8000,26.0192
1286.7000,26.0396
1286.6000,26.0483
1286.5000,26.0655
1286.4000,26.0869
1286.3000,26.1036
1286.2000,26.1198
1286.1000,26.1371
1286.0000,26.1516
1285.9000,26.1691
1285.8000,26.1899
1285.7000,26.2008
1285.6000,26.2188
1285.5000,26.2352
1285.4000,26.2516
1285.3000,26.2678
1285.2000,26.2845
1285.1000,26.2998
1285.0000,26.3165
1284.9000,26.3297
1284.8000,26.3471
1284.7000,26.3624
1284.6000,26.3805
1284.5000,26.3961
1284.4000,26.409
1284.3000,26.4249
1284.2000,26.4369
1284.1000,26.4494
1284.0000,26.464
1283.9000,26.4763
1283.8000,26.4894
1283.7000,26.5029
1283.6000,26.5168
1283.5000,26.5294
1283.4000,26.5464
1283.3000,26.5555
1283.2000,26.5672
1283.1000,26.5786
1283.0000,26.5889
1282.9000,26.6029
1282.8000,26.6159
1282.7000,26.6281
1282.6000,26.6404
1282.5000,26.6576
1282.4000,26.6659
1282.3000,26.6753
1282.2000,26.6847
1282.1000,26.6969
1282.0000,26.7084
1281.9000,26.7168
1281.8000,26.724
1281.7000,26.7372
1281.6000,26.7482
1281.5000,26.7561
1281.4000,26.7658
1281.3000,26.774
1281.2000,26.7886
1281.1000,26.7999
1281.0000,26.8148
1280.9000,26.8251
1280.8000,26.8316
1280.7000,26.8429
1280.6000,26.8573
1280.5000,26.8689
1280.4000,26.8816
1280.3000,26.8953
1280.2000,26.9052
1280.1000,26.9148
1280.0000,26.9231
1279.9000,26.9334
1279.8000,26.9411
1279.7000,26.9494
1279.6000,26.9635
1279.5000,26.9731
1279.4000,26.9806
1279.3000,26.9862
1279.2000,26.9984
1279.1000,27.0152
1279.0000,27.0286
1278.9000,27.039
1278.8000,27.047
1278.7000,27.0592
1278.6000,27.0694
1278.5000,27.0813
1278.4000,27.0893
1278.3000,27.0994
1278.2000,27.1082
1278.1000,27.1189
1278.0000,27.1246
1277.9000,27.133
1277.8000,27.1377
1277.7000,27.1458
1277.6000,27.1572
1277.5000,27.1661
1277.4000,27.1717
1277.3000,27.1799
1277.2000,27.1828
1277.1000,27.187
1277.0000,27.1923
1276.9000,27.2059
1276.8000,27.2139
1276.7000,27.2221
1276.6000,27.2299
1276.5000,27.2306
1276.4000,27.2333
