TITLE,sample3a
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,25/11/14
TIME,11:03:04
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-0.1
XUNITS,NANOMETERS
YUNITS,TRANSMITTANCE
FIRSTX, 1400.0000
LASTX,  300.0000
NPOINTS,   11001
FIRSTY,     0.03998
MAXY,   125.24290
MINY,    -0.01736
XYDATA
1327.8000,15.2303
1327.7000,15.2923
1327.6000,15.3621
1327.5000,15.4274
1327.4000,15.4896
1327.3000,15.5504
1327.2000,15.6148
1327.1000,15.6849
1327.0000,15.7489
1326.9000,15.8186
1326.8000,15.881
1326.7000,15.9476
1326.6000,16.0157
1326.5000,16.0831
1326.4000,16.151
1326.3000,16.2135
1326.2000,16.2822
1326.1000,16.3457
1326.0000,16.4134
1325.9000,16.4817
1325.8000,16.5475
1325.7000,16.6193
1325.6000,16.6791
1325.5000,16.7483
1325.4000,16.8155
1325.3000,16.8899
1325.2000,16.9524
1325.1000,17.0187
1325.0000,17.0913
1324.9000,17.1561
1324.8000,17.2247
1324.7000,17.2906
1324.6000,17.3564
1324.5000,17.4207
1324.4000,17.4844
1324.3000,17.5559
1324.2000,17.6224
1324.1000,17.6959
1324.0000,17.7652
1323.9000,17.8303
1323.8000,17.9018
1323.7000,17.9657
1323.6000,18.0337
1323.5000,18.107
1323.4000,18.1735
1323.3000,18.2416
1323.2000,18.3096
1323.1000,18.3833
1323.0000,18.4534
1322.9000,18.5256
1322.8000,18.5898
1322.7000,18.657
1322.6000,18.7247
1322.5000,18.7889
1322.4000,18.8616
1322.3000,18.9272
1322.2000,18.9966
1322.1000,19.0606
1322.0000,19.1317
1321.9000,19.2069
1321.8000,19.2768
1321.7000,19.3479
1321.6000,19.4172
1321.5000,19.4907
1321.4000,19.5626
1321.3000,19.6388
1321.2000,19.7116
1321.1000,19.7761
1321.0000,19.8462
1320.9000,19.9157
1320.8000,19.985
1320.7000,20.0544
1320.6000,20.12
1320.5000,20.186
1320.4000,20.257
1320.3000,20.3201
1320.2000,20.3924
1320.1000,20.4645
1320.0000,20.5351
1319.9000,20.6057
1319.8000,20.6744
1319.7000,20.7405
1319.6000,20.8119
1319.5000,20.8815
1319.4000,20.9561
1319.3000,21.034
1319.2000,21.1075
1319.1000,21.1808
1319.0000,21.252
1318.9000,21.3229
1318.8000,21.3941
1318.7000,21.4588
1318.6000,21.5293
1318.5000,21.6044
1318.4000,21.6827
1318.3000,21.7534
1318.2000,21.8215
1318.1000,21.8895
1318.0000,21.9612
1317.9000,22.0361
1317.8000,22.1093
1317.7000,22.1797
1317.6000,22.2535
1317.5000,22.3282
1317.4000,22.3998
1317.3000,22.4776
1317.2000,22.5431
1317.1000,22.6169
1317.0000,22.6903
1316.9000,22.758
1316.8000,22.8317
1316.7000,22.9015
1316.6000,22.971
1316.5000,23.0444
